0	1.1189
0.001	1.2408
0.002	1.2306
0.003	1.2361
0.004	0.98102
0.005	1.0603
0.006	1.0002
0.007	1.0139
0.008	0.97286
0.009	0.99868
0.01	1.1187
0.011	1.0691
0.012	0.8878
0.013	1.0537
0.014	1.2931
0.015	1.0251
0.016	1.0798
0.017	0.82658
0.018	0.95641
0.019	0.99305
0.02	1.0602
0.021	1.1318
0.022	0.88582
0.023	1.0149
0.024	0.97879
0.025	0.97684
0.026	1.0905
0.027	1.1992
0.028	1.1036
0.029	1.1258
0.03	1.1743
0.031	1.1619
0.032	0.93445
0.033	1.0659
0.034	1.0838
0.035	1.3133
0.036	1.1648
0.037	1.0844
0.038	1.1151
0.039	0.87526
0.04	0.85008
0.041	1.0484
0.042	1.2162
0.043	1.1455
0.044	1.074
0.045	1.0906
0.046	1.2898
0.047	1.2291
0.048	1.0652
0.049	1.0702
0.05	1.1135
0.051	1.1507
0.052	0.9873
0.053	0.83823
0.054	1.0605
0.055	1.3372
0.056	1.0579
0.057	1.2643
0.058	1.2425
0.059	1.1996
0.06	1.1154
0.061	1.1266
0.062	1.0317
0.063	1.0305
0.064	1.1994
0.065	1.2256
0.066	1.3483
0.067	1.084
0.068	1.2043
0.069	1.3005
0.07	1.3646
0.071	1.078
0.072	1.0017
0.073	1.1359
0.074	1.2088
0.075	1.1295
0.076	1.2464
0.077	1.0251
0.078	1.2832
0.079	1.2691
0.08	1.2228
0.081	1.3016
0.082	1.2376
0.083	1.226
0.084	1.0412
0.085	1.0933
0.086	1.0429
0.087	1.0419
0.088	1.2022
0.089	1.1722
0.09	1.1655
0.091	1.263
0.092	1.2059
0.093	1.2028
0.094	1.2518
0.095	1.157
0.096	1.1062
0.097	1.2093
0.098	1.1666
0.099	1.3817
0.1	1.1975
0.101	1.1277
0.102	1.211
0.103	1.3971
0.104	1.3867
0.105	1.1287
0.106	1.2458
0.107	1.2638
0.108	1.4658
0.109	1.2746
0.11	1.4452
0.111	1.2366
0.112	1.2238
0.113	1.398
0.114	1.2486
0.115	1.2223
0.116	1.1834
0.117	1.2386
0.118	1.2243
0.119	1.4102
0.12	1.1865
0.121	1.2904
0.122	1.2715
0.123	0.98118
0.124	1.3822
0.125	1.3725
0.126	1.246
0.127	1.0273
0.128	1.1949
0.129	1.3499
0.13	1.3729
0.131	1.2423
0.132	1.4179
0.133	1.2739
0.134	1.3077
0.135	1.1694
0.136	1.475
0.137	1.3292
0.138	1.1362
0.139	1.0416
0.14	1.3494
0.141	1.3377
0.142	1.3617
0.143	1.2864
0.144	1.3343
0.145	1.3158
0.146	1.3441
0.147	1.4344
0.148	1.3795
0.149	1.2676
0.15	1.2876
0.151	1.4955
0.152	1.1468
0.153	1.3614
0.154	1.3591
0.155	1.308
0.156	1.2498
0.157	1.3789
0.158	1.4195
0.159	1.5518
0.16	1.3301
0.161	1.2874
0.162	1.3828
0.163	1.4491
0.164	1.2313
0.165	1.461
0.166	1.4911
0.167	1.3895
0.168	1.396
0.169	1.4324
0.17	1.3393
0.171	1.4025
0.172	1.4879
0.173	1.3814
0.174	1.3042
0.175	1.5651
0.176	1.4628
0.177	1.538
0.178	1.4846
0.179	1.3387
0.18	1.6034
0.181	1.4337
0.182	1.3621
0.183	1.3582
0.184	1.4357
0.185	1.5107
0.186	1.4891
0.187	1.3925
0.188	1.4151
0.189	1.5712
0.19	1.3923
0.191	1.4302
0.192	1.6498
0.193	1.3071
0.194	1.5017
0.195	1.4095
0.196	1.5003
0.197	1.6136
0.198	1.5321
0.199	1.6177
0.2	1.3962
0.201	1.6144
0.202	1.4572
0.203	1.4405
0.204	1.6872
0.205	1.4103
0.206	1.4701
0.207	1.5218
0.208	1.5423
0.209	1.5481
0.21	1.6001
0.211	1.5654
0.212	1.4955
0.213	1.4937
0.214	1.5048
0.215	1.3655
0.216	1.5349
0.217	1.5652
0.218	1.7638
0.219	1.6068
0.22	1.6342
0.221	1.4479
0.222	1.5009
0.223	1.3745
0.224	1.6569
0.225	1.5136
0.226	1.5109
0.227	1.5771
0.228	1.6039
0.229	1.6553
0.23	1.5679
0.231	1.6308
0.232	1.6765
0.233	1.6
0.234	1.4241
